@relation train

@attribute Document string
@attribute class-rohit {one, five}

@data
"awesome good perfect open whole quick attentive leisurely fresh crisp ripe tasty funny hung",five
"skeptical willing frank trafiic bright cheery nice big lemon tart hooked sweet miniscule yummy tiny difficult happier heavy heavenly bigger huge helpful happiest",five
"great good last new",five
"nice clean glad free huge awesome super big expensive open old new modern",five
"last smaller other bottled special empty upset open great flavorless",one
"few amazing russian",five
"last worse sick rude pointed wet impossible clean least dead horrible saddened new sunny smart favorite",one
"amazing several other busy friendly knowledgeable available outstanding reasonable",five
"happy awful subpar needless",one
"nice good worth other least common clean",one
"terrific low annual incorrect diagnostic argumentative rude reasonable rudest polite particular",one
"higher delicious last wholesome grilled personable great",five
"awesome good charming delightful amazing delicious phenomenal",five
"old welcome",five
"prompt untrue clean",one
"great",five
"good harder awful edible thick great fishy worse big disrespectal worst full",one
"whole decent good dirty dirtier",one
"serious good inexpensive whole delightful other french creamy delicious big mexican least attractive philistine rare",five
"hourly narrow usual same mixed strange generous free",one
"various slow other such happy overbooked tacky ridiculous additional adjacent cranky worth",one
"such horrible general",one
"great",five
"wonderful wide indian terrific nice",five
"disgusted interested other full precious extensive genetic amazing old okay clean",five
"such amazing poor small free",five
"embarrassed awful disappointing whole attractive personal bad",one
"superb friendly consistent reasonable healthy healthiest",five
"last least",one
"slow good creative tasty yellow great quick",five
"huge heavenly tiny excellent quick friendly great decent",five
"amazing freshest chinese wonderful",five
"second diverse great appropriate comfortable conscious independent lovely",five
"higher great high",five
"simple rude high bad",one
"worst last 5am different new third 5pm free full ridiculous sorry unlimited drunk old terrible",one
"sorry honest",one
"great friendly fresh good nice happy",five
"excellent happy nice pleased",five
"awesome super cheap",five
"separate nice few rude other particular pointless worth entire awkward whole good sour exact disappointed such spunky",one
"local different big same",one
"cheap colorful huge good",five
"different separate fair few sick fabulous breathtaking communal favorite private open amazing",five
"new good loud weird tired classic cheap",one
"italian undrinkable rustic good big soggy bitter whole hot",one
"great same different good crispy coated overcooked thick arctic tiny dry",one
"good great affordable",five
"perfect tasty true italian bad",five
"able picky good great",five
"particular willing",one
"whole other same middle hilarious great",one
"few happy stellar excellent fresh wonderful incredible unreal several delicious roasted great pleased hearty flaky new friendly super helpful major consistent attentive worth good",five
"loud second good",one
"",one
"amazing proactive great unpredictable worth",five
"sad least carpal heartbroken able full hurtful willing needless",one
"terrible old okay false",one
"expensive friendly helpful knowledgable cheap other paralyzed same whole additional ordinary pushy huge full great",five
"awful last possible",one
"deeper overweight bad mellow spiritual restorative nice old sincere great eric awesome",one
"bad huge severe urgent wrong due miserable apologetic whole proper worried many other sick same",one
"horrible needless simple",one
"different disappointed amazing lovely wonderful helpful free entire nice good great special lower",five
"quick wild blandest worse frozen bad hot grilled possible extra pregnant",one
"small big excellent nice superb fresh crispy bottled rich simple single cheesy worth",five
"worst dry large horrible friendly",one
"free odd same worth nice necessary",one
"experienced bad packed able small considerable",one
"newer last non",one
"nice fluffy shiny happy",five
"huge happy great last fantastic small separate main located usual uncomfortable new slight apologetic good",five
"fantastic helpful knowledgeable cheapest competitive great extensive particular wonderful",five
"new stray big mid busy worse",one
"personable easy",five
"honest different low separate great sketchy least open middle small cooler dead",one
"actual serious mad awesome quick less favorite bad good friendly fair",five
"several weak bad aware anti thorough general horrendous flat old hung great free",one
"clean crappy last wet soggy",one
"amazing delicious great happy",five
"good other",five
"great worst",one
"curly reckless exemplary primary enigmatic mysterious young talented sole seediest 16th charming evident final 32nd sagacious old whirling unmatched desperate drunk",five
"hot fresh nice good courteous exceptional",five
"indelible",one
"naive rude weird hungry",one
"unacceptable inept previous exorbitant necessary",one
"great many crazy sorry bad nice second open tasteless horrible harsh worst mexican",one
"great apt awesome least 18th free crazy needless many glorious",five
"high fair low biggest other assorted notable prime ferris disappointed",one
"last positive diagnostic",one
"nice old good",five
"final rude pathetic timely",one
"dirty bad dry clean",one
"perfect outdoor hot nice small presidential sweet ridiculous free snowy",five
"awful good sick",one
"rare full receptive several second happier clean same",five
"unwitting questionable absolute worst few refried spongy frozen general good dull minimal sour resistant loud decent available same",one
"deserving such blandest worst popular cheapest",one
"happy complete marine wholesale same",one
"low bad trepedatious good helpful nice",five
"good worst dirty same gross",one
"holy busy fantastic entire",five
"great many adventuresome huge good own",five
"free passable bad terrible dirty",one
"human exact large incompetent wrong upset sympathetic apologetic whole private happy complimentary disgusted general acceptable normal huge due extra good priceless",one
"dirty worth worst mushy cold good",one
"french great",five
"many final sad",one
"cold",one
"many friendly quick scared great fair special",five
"new tiny clear aware",one
"easy personal big simple nice good ready clean full remembered unplugged typical",one
"favorite chinese different local authentic golden second good high last nice expensive other super flaky tasty",five
"funny fresh corporate",one
"bad slow",one
"own favorite middle great affordable many other local bad awesome friendly new helpful fabulous",five
"several annual many last slow complete impossible direct disappointed",one
"quick cold hot empty wrong poor fifth bad continual surly unprofessional antagonistic confrontational actual nice ugly arrogant",one
"good",one
"new impressed great knowledgable",five
"great friendly",five
"possible high convenient due poor other",one
"good bad recent mushy least complimentary",one
"last shameful slow soggy bad old limp rancid adequate cold awful",one
"good prepared surprised nice soft mid",five
"last small delicious friendly hesitant current secluded beautiful located comfortable nice usual facial happy tiny attentive big comfy private paranoid",five
"white blonde blue needless",one
"mid multiple peaced",one
"other great fresh awesome good friendly",five
"absolute freshest",five
"new special same good warm stale wrong undercooked cold unpleasant",one
"free new whole middle personal",one
"last foul sweaty pleasurable",one
"extra least",one
"autistic wonderful old amazing",five
"usual other busy phenomenal yummy tasty different hot sweet asian delicious individual satisfied",five
"old respiratory contagious solid medical renal nasty same oldest",five
"yearly other happy dental fantastic prompt",five
"gorgeous exceptional great wonderful romantic",five
"okay bipolar last upset whole bad other wise precious healthier important apologetic dental good afraid sweet",five
"impressed delicious wonderful tart amazing sweet delicate fantastic rich balsamic",five
"last partial frank lean comfortable obvious trim curly old disappointed good",one
"special big cheaper impressed such",one
"authentic japanese great classic unbeatable other true located southern personal big",five
"favorite free willing several own small bad italian canadian friendly",five
"great",five
"bad usual several own loud obnoxious rid",one
"delicious incredible attentive special romantic",five
"disappointed superb",five
"worst mexican bad crappy",one
"several smaller small great different nice easy",five
"amazing several previous many uncomfortable simple possible easy outstanding",five
"terrible busy slow entire new clear negative pleasant least",one
"tasty other generous trans dangerous solid ready mexican",one
"busy big special nice good",five
"new least few personal 1st full other notable smart mobile awful terrible free thirsty silent such horrible atrocious worst sorry safe",one
"agreeable great many tasteless",five
"low great excellent",five
"myriad mediocre horrible clean professional bloody quiet perfect",five
"good old frozen",five
"last worse dirty sketchy fond old worst",one
"bad busy ordinary few empty dirty least several less invisible undesirable",one
"small few cheap clean regular discriminative",one
"great friendly awesome good",five
"",five
"cold frozen great dark",five
"perfect new",five
"hooked located middle industrial adjacent exclusive knowledgeable helpful personable such 44th few free own understandable favorite freshest reasonable worth small comfortable flat nice big great",five
"magnificent mexican simple delicious exciting famed other exotic",five
"awful last full random multiple free",one
"surreal overdue embarrassing last favorite popular awesome available true bright fabulous stellar free",five
"several good great favorite random innovative fresh",five
"own old important great delicious sweet helpful favorite crazy good hot adorable fantastic warm cold least needless laughable acceptable wonderful",one
"nice worth",one
"amazing second worth great good fresh",five
"good orignal thin great favorite",five
"fabulous fresh clean french lemon",five
"great bald",five
"wonderful particular oriental fresher friendly bigger chinese great",five
"worst last rude upset urgent",one
"ready big full darn cheap dark heavy votive great new small",five
"different favorite exciting unique disappointed dangerous hooked addicting amazing wrong happy perfect incompetent stupid",five
"",five
"beautiful yummy happy able",five
"great nice knowledgeable professional",five
"recent amazing elegant old stuffy whole unpretentious lovely older big wooden charming local sweet mild fresh prepared natural grilled perfect obtrusive knowledgable nice",five
"",one
"last fantastic nice intimate great new comfy tired good",five
"worth last rude polar opposite awesome crazy helpful good",five
"fantastic busy bright good great fair casual loud old quick own sad",five
"great lemon",five
"beautiful awesome friendly good extra nice",five
"many other interested",five
"corteous resonable",five
"good olympic few full native small",five
"last beautiful friendly other clean neat huge worth",five
"relative distant least different social disturbing discriminatory gay bad good afraid meaningless",one
"worst entire same wrong tiny less own decent tense smaller good sad extra bad",one
"random large good ridiculous",one
"good different normal lucky alcoholic big mixed easy scared",five
"funny different other pointed cheap same easy mixed sad good crappy",one
"great traditional hot italian delicious hungry",five
"prepared good unfettered crazy tasty",one
"several wonderful outstanding good",five
"favorite great excellent good french bad",five
"many second quick chinese friendliest subtle fresh less hot general crispy full crunchy good attentive",five
"new high whole clean main fresh lucky careful expensive wrong relative few mere delicious great pleasant fair higher classical negative",five
"marked horrible",one
"greasy mediocre inedible worst",one
"lazy bad",one
"bad stupid cheap such worth new",one
"terrible horrible packed high",one
"full available absolute tasty new good friendly",five
"rude purple carefree new due less pleasant experienced such crappy moral",one
"least",one
"friendly helpful honest optional fair",five
"few small old awkward welcome disappointed sorry good prepared",one
"nice great rude horrible several terrible",one
"simple quick pleasant good",five
"fantastic honest",five
"good worried new",five
"happy great friendly",five
"",five
"clean great rude helpful old smaller glad massive",five
"excellent expensive everyday special romantic perfect allergic knowledgable related friendly attentive helpful whole good free",five
"east limited good bold favorite great",five
"favorite worth trendy fantastic reasonable inner great",five
"worst large difficult prime nice huge many significant agreeable odd limited electronic stupid regular same few ready 1st main excessive upset okay overcooked nastiest whole rude willing worth italian",one
"actual",one
"dark special excellent",five
"current previous mad miraculous good great",five
"brown beautiful special",five
"delighted wonderful italian delicious peppy gracious old",five
"okay different such local favorite direct few stiff",one
"surprised heavy delightful delicious affordable helpful red nice mellow enjoyable",five
"horrible wrong regular terrible correct same actual awful",one
"authentic new many gritty higher native high ordinary familiar disappointed equal good true magnificent heavy thick green unique distinctive great",five
"utter horrible terrible clueless nice",one
"dry soggy 67th",one
"great utmost",five
"other important minimal additional instrumental reliable professional",five
"friendliest terrible",one
"high great",five
"surprised numerous positive drunk sweet sour great hotter authentic mexican",one
"less expensive older heavier newer lighter actual newest cleanest",five
"mexican few nice last cleaner overwhelming sick good worth",one
"nice terrible aggressive rude abrasive perfect great whole unnecessary multiple such",one
"soft definitive high red old greasy deceptive",one
"friendly everyday competitive spectacular other good knowledgeable",five
"nice new super friendly",five
"green eternal",five
"sorry good many original true bad unfriendly rude unprofessional nice clear other free sweet white same huge such pre traditional decent bland cold pasty flavorless chewy last legal ridiculous lousy lengthy awful different",one
"favorite russian good unique typical clean friendly small empty worth",five
"big young bad wrong uncomfortable other expensive small whole fair honest true incompetent",one
"mexican wrong bad sick bland crummy sorry good",one
"large packed worried grilled friendly ready instantaneous amazing good wonderful entire great",five
"previous good inedible unique rustic old italian phenomenal abyssmal flavorless bland cold hot undercooked worse industrial military unfortunate terrible regular worst",one
"many upset unnerved original other frustrated sublingual angry dishonest normal snippy unaccommodating argumentative rude incompetent",one
"original swanky italian great old loud happy infectious own huge",five
"good nice different green awesome great convenient attentive few busy",five
"open delicious various empty",five
"30th open",one
"trendy underflavored speedy",one
"grand good",five
"great sicilian thicker",five
"physical present worse regular non invasive painless willing honest",five
"large new great last nobel east less helpful friendly neat clean full",five
"blue located favorite possible unexciting stale flat old interested whole sketchy scared",one
"dependable pleased great reasonable lower non reputable",five
"",five
"terrible endless correct",one
"great worth",one
"negative same due high bad identical other",one
"special good worst thin thicker minimal horrible",one
"thin soggy greasy favorite",five
"due dirty ancient unkempt good other 1of casual mid",one
"horrible",one
"weak large assorted serious extra old good fair",five
"amazing mexican major delicious",five
"awesome last nice other",five
"thorough wrong spare",one
"perk daytime good magical",five
"new small criminal",one
"located big separate surprised large small wet safe spacious huge adult lazy open nice friendly helpful",five
"last tremendous unnecessary",five
"available nice non positive apologetic huge",one
"new same cleaner dirty fresh good excellent",five
"professional quick super reasonable",five
"last nice clean beautiful wonderful friendly great happy good quiet thin",five
"incredible wonderful fabulous",five
"sad wonderful mexican amazing experienced green great unique tasty",five
"good excellent high ready",five
"big happier",one
"dirty second worse affordable remote big inflatable other good thin spotty helpful tired whole",one
"diabetic",five
"hot fresh good less great remembered nice ample free",five
"empty less worth",one
"worst least due",one
"open needless",one
"authentic supportive many eric certain fluffy other favorite good few gentle restorative new experienced different nice special limitless true grateful free",five
"great",five
"great congenial excellent clean worth asian satisfactory good reasonable last",five
"dirty last bad",one
"last super fresh yummy authentic good",five
"few big tasty last attentive friendly pleased delicious savory amazing flavorful decent other wild full good great",five
"old brown good special",one
"last frozen palatable",one
"quick hot sour great ready hearty happy needless",five
"drunk good hot",five
"great whole",five
"great negative annual administrative huge common several biggest regular sick rude snobbish other unfortunate good bad",one
"last 6pm rainy super friendly awesome perfect several newest fresh seasonal same yummy great such delicious warm",five
"free useless mobile terminal",five
"great",five
"rude such clean automatic other open nice same main peculiar asian marked normal",one
"nice prime great",five
"new awesome main attentive friendly honest slower sweet great french prime usual",five
"packed nice",five
"high difficult nasty greasy glad",one
"single inexpensive amateur",five
"favorite delicious disappointed",five
"slow grumpy thin chewy small special frozen italian",one
"rare whole big empty",one
"horrible slow busy good worth",one
"poor",one
"super quick friendly last perfect",five
"excellent great romantic good knowledgable fantastic",five
"fresh last okay central super aware poor",one
"okay disappointing italian original sorry",one
"wonderful nice",five
"great unique free different honest popular",five
"old such sweet spunky lovable good scared",five
"good whole old pissy multiple drunk smart other last single stunned",one
"empty least whole filthy excellent super helpful unhappy less",one
"slow rotten free corporate fresh",one
"packed friendly other clean nice cramped deluxe additional comfy needless fantastic",five
"incredible happy delicious",five
"super friendly great special busy outdoor",five
"sorry major clean greasy multiple big good",one
"worst foremost",one
"delicious good nice",five
"horrible needless",one
"small good reasonable super nice black palatable such",five
"",five
"horrible worse wrong needless",one
"local simple modern unique 1st amazing 2nd limited tasty different fresh",five
"many correct last poor clean superficial big picky young rude welcome inexcusable busy happy large white less sloppy dirty wet filthy same disrespectful good unhappy",one
"favorite busy interested main great open",five
"whole complete few glad",one
"rude high iced special mealy soft rudest experienced",one
"phenomenal great stellar other",five
"slow",one
"mixed fresh japanese",five
"disappointed tasteless awful 5pm",one
"surprised great grilled special clear similar perfect good",five
"fresh nice normal excellent regular tasty pleasant",five
"many recent older same happy hungry ready good several equivilent great other old",one
"2nd least pleased good friendly efficient last dramatic slow crappy sorry loyal happy new",one
"fresh big fantastic",five
"horrible new displeased worst good",one
"delicious perfect fresh tasty white",five
"good new own other single bad",one
"easy able pleased clear",five
"favorite friendly delicious large flavorful fresh heavenly red wonderful local cozy great",five
"worse sharp hot loud",one
"fresh cheap good hot",five
"dirty stale",one
"green delicious red fantastic hot white",five
"great last excellent attentive personal general french scalloped green several prepared expensive special",five
"sorry bad nice good high diagnostic new horrid open clean competent",one
"last worst whole nice sweet knowledgeable young least black open few ready brown curly sorry honest surprised ridiculous senseless other vicious verbal worth professional informative normal conversational bad",one
"crappy hot wrong palatable different obvious sorry lame",one
"superb last excellent sorry perfect sweet knowledgeable asian italian",five
"excellent great nice outdoor",five
"dirtiest less",one
"slow due quick poor numerous great",one
"few due thorough mechanical different new able fabulous 7am programmable great happy nice mild entire",five
"awesome hungry polite good favorite mexican",five
"last old experienced classic correct previous",one
"atrocious open ridiculous",one
"such great fresh",five
"okay spectacular memorable asian abysmal straightforward different generous prepared same high dry coated obvious white green crunchy visible thin hot least wrong clear usual horrid nondescript chinese limited tasty good delicious brown",one
"able reasonable fresh efficient friendly",five
"scary crazy necessary creepiest",one
"friendly clean great same",five
"least honest",five
"nice main blonde difficult few",one
"serious thorough other high technical valuable",five
"loud obnoxious trendy pretentious authentic superior social concerned",one
"new grand whole good gross nice filthy friendly super stupid",one
"nice favorite precious great new gorgeous unique amazing",five
"due weird last frustrated",one
"wonderful good worth unseasoned own nice",one
"okay rude unfriendly important other",one
"great good",five
"great wonderful beautiful modern spacious basic lovely quiet adult outstanding good fantastic gorgeous other skilled picky bad special busy due friendly",five
"holy blue sunny warm awsome",five
"good authentic",five
"artistic outdoor iced great nice polite",five
"solid nice large inclined fair assorted largest golden decent",five
"rude unprofessional worth super slow least",one
"big dark black easiest many",one
"old clean nastiest",one
"fresh easy whole central few awesome bad stringent horrendous 3rd able main unsatisfied uncaffeinated busier",one
"nasty cheesy funky strong good least decent cleaner clean cheap creepy fair",one
"dry other",one
"disappointed recent great poor second rude available flat busy few worst worse mad several cramped decent clean nice gross golden",one
"favorite worth easy fantastic several yummy personal tasty good different green ready peppered busy certain phenomenal",five
"flat new east nice helpful honest affordable great",five
"greasy unhappy friendly attentive worst good mexican",one
"unprofessional uneducated nasty rude 3rd clean nice professional",one
"oriental japanese great main located different clean helpful attentive negative ethnic such wide accessible roasted particular large impressive considerate due opposite middle able adventurous regular",five
"worst bad angry",one
"other rude basic hygenic least bad",one
"inconsistent other wrong sad last sarcastic worse negative",one
"great flat awesome thin",five
"big special kevlar second excellent fair",five
"big honest high current happy",five
"various",five
"simple great northern wonderful fresh authentic",five
"unruly thick manageable cute",five
"sparkling busy",one
"warm big fresh cold",one
"1st prepared new last huge sharp nice awesome messy worse brown same gross fair corporate aware",one
"unopened same last able poor fresh",one
"horrible younger major nice",one
"happy great good awesome old other",five
"glamorous young naive terrible old unspectacular spare",one
"amazing beautiful friendly",five
"handy direct other",five
"remembered available whole entire bad miserable",one
"few incorrect same open new",one
"nasty unsettled invisible worst younger lazy astonished",one
"terrible closest last",one
"huge big such good bad new same exact mad difficult rude apologetic free wrong happy sorry different stunned second",one
"bad reluctant good fishy big sorry poor",one
"terrible local mexican",one
"amazing central",five
"aggressive good famous cheap",one
"busy great wrong soggy",one
"good dirty terrible sudden english sad",one
"many different same generic east eager greek regular japanese white weakest sorry tired amazing few actual awful gross pointed particular romantic cheapest own sweet good awestruck cute respectable unable fresh favorite great successful lowest least extra chinese",one
"disappointed worse nice great good greasy stale green",one
"good overbooked multiple higher regular busy full great new various nice helpful yummy complimentary favorite fabulous",five
"awesome ready optional great different new disposed old",five
"hungover strict tricky few private nice busy chilly pleasant beautiful funky amazing able many free rare sweet separate big messy",five
"polite original dark small horrible nice bland wet typical copious actual spoonful seasoned laden dry old second crushed hung mediocre flat lemon loyal great",one
"bad worst such ridiculous last initial ludicrous other additional decent main lukewarm horrible",one
"great timely beneficial multiple lovely main convenient reasonable interested clean professional",five
"wrong proper rude hung other floral",one
"own 2nd other brown",five
"celebrated other gay big hot unforgettable",one
"last disappointed awful easy mediocre",one
"excellent voluminous beautiful altered talented professional good",five
"horrible ready free weak yellow middle worst",one
"low new repairable several great less",one
"drunk due",one
"black gross dark brown worst few rude possible big hung free least bad terrible",one
"able few such weird nice innovative consistent same new awesome thin major awkward big old afraid great uncomfortable high dry worthy empty several",one
"trim wrong apologetic",one
"happy knowledgeable friendly professional own amazing annual",five
"quaint nice amazing antipasto fabulous grilled good non existent awesome",five
"unprofessional",one
"horrible native many mere successful new great solid hopeful mediocre main other entire hot bad ready clear polite stunned good",one
"delicious italian evident lovely sweet great multiple",five
"older big certain positive same nicer",one
"great mexican special weird white sharp odd tasteless worth same bland nice few",one
"simple",one
"second favorite pleased great friendly weird anti large",five
"new glad awesome painless possible rough own great personable helpful good specific expensive big",five
"great free good new",five
"southern countless good populous small many few negative bad hot green 2mg 3am tiny disappointed",one
"fair local friendly knowledgeable pushy different clean",five
"several nice other many slow good horrible",one
"lame",one
"favorite expensive smaller tasteless delectable small dry good big final sorry",one
"same final uncomfortable able careful",one
"mexican red blue regular great",five
"terrible",one
"worth middle soft crunchy savory great",five
"able thankful",one
"horrible",one
"full crazy second okay clean small drunk difficult such uncomfortable",one
"great fitting usual numerous other helpful middle third comfortable satisfactory sunny worse sexist chauvinistic",one
"helpful pleasant",five
"italian mixed super nice sweet multiple high good awesome",five
"1st other helpful local beautiful comfortable supportive great wonderful frequent outdoor nicer indoor related knowledgeable",five
"easy reasonable available closest",one
"capable worst same other",five
"terrible good poor middle 7th entire awesome sorry bad complete fair painless",five
"horrible dirty",one
"wild celebrated 10th great disappointed",five
"fresh great",five
"many white",one
"main courteous fair",five
"good new",five
"rude arrogant disinterested related medical quick costly busy important",one
"gross complete lazy clean",one
"beautiful big full few shady lovely green clean small periodic popular overcrowded smaller wonderful perfect good hungry thirsty nice",five
"direct present initial small elegant purple generic white local reliable",one
"similar sonic certain good sick regretful",one
"great good familiar popular intimate triangular impressive nifty open blue sorry lovely ready general",five
"irish bland",one
"amazing fresh incredible available particular good picky satisfied interesting outstanding generous local casual",five
"bad unimpressed eastern poor local unsafe rude lazy angry hung few shitty",one
"possible impressive older able single foulest brown dark dirty curious awesome high gross main wrong",one
"antipasto good new perfect toasty chewy single great wrong red big happy",five
"bad awesome helpful",five
"idle rough full cheap diagnostic sour laughable specific additional reliable other correct new able bent previous several less old rude dismissive bad",one
"authentic british true friendly knowledgeable fabulous favorite hot huge crispy fair solid comfortable good",five
"local indonesian high less friendly professional interrupted particular blind illiterate cold other authentic red lemon green small tiny lumpy mushy asian few bad worse unsatisfied disappointed",one
"other gorgeous corporate such nice clean comfortable honest higher general glad great fresh super friendly previous",five
"delicious greasy welcome heavenly few happy",five
"awesome profesional",five
"new favorite small cozy lovely friendly",five
"old routine simple",one
"chinese",five
"filthy due rainy several weird clean worse dirty second same last few convinced new ultimate",one
"awesome great good fluffy delicious favorite",five
"tiny stale",one
"awesome second",five
"awesome great cheaper perfect single nice",five
"outstanding happy",five
"different hesitant large greasy closest super grumpy entertaining weird authentic small great worth delicious huge amazing new",five
"good informative free busy efficient friendly",five
"dirty old good chinese expensive burnt worst",one
"negative old nice particular corporate mexican few",one
"east crunchy soft chewy high single open",five
"same friendly anti smart nice cozy hot",five
"amazing happy super special",five
"favorite okay bland bad experienced good delicious",one
"lovely delicious excellent elderly loud interested glad second beautiful huge deconstructed expensive worth",five
"elegant impeccable awesome knowledgeable altered",five
"second own happy",one
"new free loud second same",one
"separate super nice friendly glad",five
"new large 2nd open amazing seasoned wrong white furious mistaken other less disappointed",one
"expensive wrong second proper good open unprofessional useless",one
"new great such",five
"terrible classy last appropriate packed least",one
"favorite delicious extra wonderful large awesome sour",five
"awesome located",five
"great local new able",five
"terrible few antiquated narrow easier other modern",one
"grand nice yummy super slow frozen other",one
"international available least shorter relieved other busy spare important",one
"dishonest",one
"musty moldy dirty thin entire low willing",one
"hot iced own private romantic obnoxious loud other huge",one
"high good snotty other",one
"old few many chinese cheap less worst normal",one
"awesome regular strong other white limited fresh delicious",five
"specific comfortable healthy sick cold scared less glad",five
"many able happy extra lame legal",one
"same old good high snobby delicious wonderful warm friendly fresh blended huge flavorful great italian",five
"fantabulous jalapeno single good delicious",five
"awful important inappropriate",one
"awkward blue",one
"horrible last",one
"greasy new honest ready extra remembered high easy less friendly frank free few",five
"friendly attentive cheaper nice interesting generous ready",five
"friendly knowledgeable wonderful favorite weird delicious traditional less seasonal awesome perfect",five
"",one
"appropriate dismal native many stale non existent sorry single filthy complete genuine",one
"",one
"nice great",five
"mexican new last great busy green weird limited",five
"absent few new least abysmal subpar",one
"full great delicious huge roasted fresh perfect shaded nice courteous numerous favorite high windy",five
"slow wrong",one
"small east usual prompt warm busy",five
"specific",one
"favorite worth great east",five
"holy new favorite good different several unhealthy freshest",five
"horrible open",one
"good smaller bigger weirdest nice same other irritated incredulous initial big extra sad wonderful easy able simple adhesive additional clueless rude uncouth sorry bad",one
"less stellar helpful loyal disappointed regular",one
"negative endless latest important insulting",one
"beautiful delicate meticulous shiny fabulous perfect",five
"experienced few numerous excellent big bad warm hot great good",five
"wonderful great favorite east new highest",five
"worst decent recent super dead rude new small okay flagging other",one
"special classy expensive prepared attentive friendly extensive perfect delicious great adjacent free",five
"several great friendly clean excellent extensive good typical authentic stylized contrived incomparable fanatic wide few massive big decent delish fluffy delightful sour busy fair efficient hilarious open 2pm normal",five
"mexican complimentary superb festive nicer prompt friendly good numerous",five
"great personable funny professional",five
"pleased fair stunned glad",one
"great amazing good old nice worth",five
"perfect soggy own difficult",one
"great welcome hot disappointed clean",five
"nice important rude less true",one
"super crazy religious hopeful ugly tiny tyrannical high reckless lazy professional similar hideous happy many other own",one
"great cute southwestern large good",five
"new great impeccable excellent",five
"due terrible worst experienced multiple many local big",one
"regular other typical quiet popular outdoor few free adjacent electrical easy busy",five
"big worst burnt edible old many cold nasty worth dirty",one
"simple least frozen huge hungry happy good mediocre",one
"rude wrong",one
"packed terrible high great few same new",one
"other super sexy nice great good dirty cheap",one
"super busy great friendly terrific outdoor clean",five
"grilled huge expensive good sad okay clueless funny middle traditional chinese smart white",one
